,year,Experiment,Model,adjusted_world_tas_anom,adjusted_no_arctic_tas_anom
5741,1916,historical,NorESM2-MM,0.01252348672876583,0.013302996053722954
5742,1917,historical,NorESM2-MM,0.011330950706394963,0.011996292665621022
5743,1918,historical,NorESM2-MM,0.042677732961126265,0.05217954023187301
5744,1919,historical,NorESM2-MM,0.08096125780990077,0.09150548203553892
5745,1920,historical,NorESM2-MM,0.04993902086693873,0.06540657507477474
5746,1921,historical,NorESM2-MM,-0.010759023012647551,0.008190103597889586
5747,1922,historical,NorESM2-MM,-0.10400142286567246,-0.06888195408385508
5748,1923,historical,NorESM2-MM,-0.20906413969386417,-0.16838185182266666
5749,1924,historical,NorESM2-MM,-0.2606903254082722,-0.214231303435511
5750,1925,historical,NorESM2-MM,-0.2425429567054552,-0.20176111212963282
5751,1926,historical,NorESM2-MM,-0.19746776047074738,-0.1684304875050425
5752,1927,historical,NorESM2-MM,-0.14784566587323353,-0.13444745745274303
5753,1928,historical,NorESM2-MM,-0.03410906514961127,-0.03208135271645224
5754,1929,historical,NorESM2-MM,0.05918919970445182,0.053917275790140495
5755,1930,historical,NorESM2-MM,0.04461790879315474,0.04234058155495775
5756,1931,historical,NorESM2-MM,0.07081621431356161,0.07466956042714024
5757,1932,historical,NorESM2-MM,0.12221192154200082,0.12697722426262753
5758,1933,historical,NorESM2-MM,0.08194039719182597,0.08932552277932523
5759,1934,historical,NorESM2-MM,-0.009456229689131363,0.004006834466043991
5760,1935,historical,NorESM2-MM,0.004098729263293449,0.014701288958907058
5761,1936,historical,NorESM2-MM,0.01861896458402723,0.02293706855066621
5762,1937,historical,NorESM2-MM,0.02257497174376503,0.015965458116860846
5763,1938,historical,NorESM2-MM,0.0833970985705315,0.06353919176436199
5764,1939,historical,NorESM2-MM,0.1619909113759815,0.1289569964444125
5765,1940,historical,NorESM2-MM,0.21876973507402867,0.184451056194257
5766,1941,historical,NorESM2-MM,0.2068673538099517,0.17631788936820283
5767,1942,historical,NorESM2-MM,0.1631017517618608,0.132450081559222
5768,1943,historical,NorESM2-MM,0.11809884885292266,0.10183463037176592
5769,1944,historical,NorESM2-MM,0.07600302664759359,0.06988959183386495
5770,1945,historical,NorESM2-MM,0.0348804205662339,0.036625231457298534
5771,1946,historical,NorESM2-MM,0.07564212658748937,0.07315125976328747
5772,1947,historical,NorESM2-MM,0.12340999229300617,0.11650421142342884
5773,1948,historical,NorESM2-MM,0.1667533557689696,0.14650415536695902
5774,1949,historical,NorESM2-MM,0.24612416308872404,0.21341990569159658
5775,1950,historical,NorESM2-MM,0.2853236519010506,0.23833016422728096
5776,1951,historical,NorESM2-MM,0.26658893852642557,0.22189374096535902
5777,1952,historical,NorESM2-MM,0.2744499275075908,0.23117959583869768
5778,1953,historical,NorESM2-MM,0.22487046062827093,0.18300569754304713
5779,1954,historical,NorESM2-MM,0.12873602199686235,0.09299656531945252
5780,1955,historical,NorESM2-MM,0.05778255474723733,0.029129425174475886
5781,1956,historical,NorESM2-MM,0.013265256518805568,-0.017804648006095648
5782,1957,historical,NorESM2-MM,-0.0012977685760287238,-0.0189624310880513
5783,1958,historical,NorESM2-MM,0.04302123083965489,0.03166941488705096
5784,1959,historical,NorESM2-MM,0.1448852996361585,0.13547837637175142
5785,1960,historical,NorESM2-MM,0.2632528355672664,0.25232562493808064
5786,1961,historical,NorESM2-MM,0.291675079262821,0.2768898946187513
5787,1962,historical,NorESM2-MM,0.21877855572471122,0.202889572122104
5788,1963,historical,NorESM2-MM,0.1023560761492955,0.09138704592120195
5789,1964,historical,NorESM2-MM,-0.06377114103134815,-0.0587179330924254
5790,1965,historical,NorESM2-MM,-0.2655623519236688,-0.2519436880568585
5791,1966,historical,NorESM2-MM,-0.35528825313713164,-0.3301028658711346
5792,1967,historical,NorESM2-MM,-0.40276188059524387,-0.36397285817740255
5793,1968,historical,NorESM2-MM,-0.4100330899395166,-0.36742610048154856
5794,1969,historical,NorESM2-MM,-0.3992535048060716,-0.3677081985854811
5795,1970,historical,NorESM2-MM,-0.2957871736779517,-0.2683317050719618
5796,1971,historical,NorESM2-MM,-0.2256920256771185,-0.19830331783308702
5797,1972,historical,NorESM2-MM,-0.1163007042305251,-0.09877433538752908
5798,1973,historical,NorESM2-MM,-0.011979899503012087,0.0008714273360664216
5799,1974,historical,NorESM2-MM,0.07006260304364381,0.07031310658003478
5800,1975,historical,NorESM2-MM,0.12139848805512024,0.1153965449017311
5801,1976,historical,NorESM2-MM,0.18821446885761534,0.17139393256149102
5802,1977,historical,NorESM2-MM,0.2426155879474125,0.21881016190716612
5803,1978,historical,NorESM2-MM,0.23990918176808176,0.2179269320722082
5804,1979,historical,NorESM2-MM,0.2588512883353532,0.2427556215431367
5805,1980,historical,NorESM2-MM,0.22885028162359852,0.21298795039495996
5806,1981,historical,NorESM2-MM,0.13305726628897396,0.11671340635332528
5807,1982,historical,NorESM2-MM,0.016985190614731027,0.00972616326244618
5808,1983,historical,NorESM2-MM,-0.004806202347721711,-0.02145878032825959
5809,1984,historical,NorESM2-MM,-0.0358841044700525,-0.04723974134666448
5810,1985,historical,NorESM2-MM,-0.08057818267694364,-0.08338234529114533
5811,1986,historical,NorESM2-MM,-0.04967311794560207,-0.046305338019343445
5812,1987,historical,NorESM2-MM,0.04280383691148779,0.03915183786027215
5813,1988,historical,NorESM2-MM,0.22124174198529198,0.21352636407245823
5814,1989,historical,NorESM2-MM,0.3380661441104487,0.31406756277696146
5815,1990,historical,NorESM2-MM,0.39571175417889537,0.35948327383970075
5816,1991,historical,NorESM2-MM,0.4441719432392242,0.4011554479595878
5817,1992,historical,NorESM2-MM,0.497842222435282,0.4507006449507228
5818,1993,historical,NorESM2-MM,0.412124752709519,0.3557266337533231
5819,1994,historical,NorESM2-MM,0.41376969644929507,0.36033228567717934
5820,1995,historical,NorESM2-MM,0.4847047265135414,0.4352154916919034
5821,1996,historical,NorESM2-MM,0.45608892982317634,0.40838561749437313
5822,1997,historical,NorESM2-MM,0.32681298107486556,0.27974807262342083
5823,1998,historical,NorESM2-MM,0.21256338136166977,0.18015973947486713
5824,1999,historical,NorESM2-MM,0.15780056191425684,0.1310890215123338
5825,2000,historical,NorESM2-MM,0.16571994901701156,0.1284097403874918
5826,2001,historical,NorESM2-MM,0.2951369658999067,0.2533803208473054
5827,2002,historical,NorESM2-MM,0.5144408719924769,0.46493998817202353
5828,2003,historical,NorESM2-MM,0.740638271166649,0.6862350913840686
5829,2004,historical,NorESM2-MM,0.8228268793432981,0.767081888079405
5830,2005,historical,NorESM2-MM,0.8147964510018848,0.76217915188846
5831,2006,historical,NorESM2-MM,0.7433142151804786,0.6915286561929244
5832,2007,historical,NorESM2-MM,0.6566456994456171,0.6003166768846449
5833,2008,historical,NorESM2-MM,0.5603418278263997,0.5055057575992606
5834,2009,historical,NorESM2-MM,0.5233462475930473,0.45886338595154613
5835,2010,historical,NorESM2-MM,0.5678986908623042,0.5057945011341969
5836,2011,historical,NorESM2-MM,0.6834359369959842,0.6157250053021308
5837,2012,historical,NorESM2-MM,0.7975892087630496,0.7275521194872432
5838,2013,historical,NorESM2-MM,0.9229902602849727,0.8398189503710768
5839,2014,historical,NorESM2-MM,1.0490067891955304,0.9565235123543365
5840,2015,ssp245,NorESM2-MM,1.1291854263258585,1.0256997259095575
5841,2016,ssp245,NorESM2-MM,1.1373971008032924,1.0353384234977792
5842,2017,ssp245,NorESM2-MM,1.1482916451321574,1.0439869809371374
5843,2018,ssp245,NorESM2-MM,1.1628534205784842,1.0646384813629086
5844,2019,ssp245,NorESM2-MM,1.158236323343895,1.0666956837118757
5845,2020,ssp245,NorESM2-MM,1.1650062159899988,1.0800922933332173
5846,2021,ssp245,NorESM2-MM,1.1825882656440283,1.095604726753033
5847,2022,ssp245,NorESM2-MM,1.097800233388643,1.0181913440954988
5848,2023,ssp245,NorESM2-MM,1.000594713465216,0.9347197512687062
5849,2024,ssp245,NorESM2-MM,0.947809846961379,0.892861355501745
5850,2025,ssp245,NorESM2-MM,0.9231619358149867,0.8765346150143365
5851,2026,ssp245,NorESM2-MM,0.9446702419332142,0.8972814029734142
5852,2027,ssp245,NorESM2-MM,1.0465402973620939,0.9994968334914773
5853,2028,ssp245,NorESM2-MM,1.1749853136080965,1.112655127147259
5854,2029,ssp245,NorESM2-MM,1.2552332450020436,1.1802390380738321
5855,2030,ssp245,NorESM2-MM,1.323272387847399,1.236103697840924
5856,2031,ssp245,NorESM2-MM,1.3613052653861049,1.2762285894769847
5857,2032,ssp245,NorESM2-MM,1.3511108070068985,1.259495646214742
5858,2033,ssp245,NorESM2-MM,1.2695839565304383,1.1791064954127535
