,Unnamed: 0,arctic_trend,world_trend,AA,trend_period,Model,Experiment,Ensemble_member,Months,No_arctic_crossing_year,World_crossing_year,gap
131,0,0.0575186722061698,0.0291769121135983,1.97137627114976,2015_2065,CNRM-CM6-1,ssp245,r1i1p1f2,all,2051.975,2045.954,6.020999999999958
132,0,0.0167125820683379,0.0487302787872408,0.342960936901387,2015_2065,CNRM-CM6-1,ssp245,r10i1p1f2,all,,,
133,0,0.140378684369124,0.043005332434123,3.26421577101306,2015_2065,CMCC-ESM2,ssp245,r1i1p1f1,all,2043.259,2039.941,3.3179999999999836
134,0,0.1088058088503541,0.0365548739939408,2.9765061936306823,2015_2065,CMCC-CM2-SR5,ssp245,r1i1p1f1,all,2050.796,2046.042,4.753999999999905
135,0,0.1052449317636751,0.0389147144452929,2.704502224001424,2015_2065,CanESM5-CanOE,ssp245,r3i1p2f1,all,2059.342,2054.05,5.291999999999916
136,0,0.1221986089728043,0.0408925423742011,2.988285928876329,2015_2065,CanESM5-CanOE,ssp245,r2i1p2f1,all,2056.273,2048.004,8.269000000000233
137,0,0.1233630750725119,0.0383664931001658,3.2153857468922187,2015_2065,CanESM5-CanOE,ssp245,r1i1p2f1,all,2065.374,2051.66,13.713999999999942
138,0,0.0977762119230003,0.0371694673882412,2.6305518694069945,2015_2065,CanESM5,ssp245,r9i1p2f1,all,2066.465,2058.759,7.706000000000131
139,0,0.1141584985298257,0.0395489601364266,2.8865107486019514,2015_2065,CanESM5,ssp245,r9i1p1f1,all,2056.307,2048.697,7.609999999999673
140,0,0.1040873459774191,0.0358941959905225,2.8998377900678456,2015_2065,CanESM5,ssp245,r8i1p2f1,all,2064.605,2058.415,6.190000000000055
141,0,0.1109249618020779,0.0393655032330248,2.8178215110183014,2015_2065,CanESM5,ssp245,r8i1p1f1,all,2062.759,2052.954,9.804999999999836
142,0,0.1117451529679172,0.0388299573082062,2.8778077730284104,2015_2065,CanESM5,ssp245,r7i1p2f1,all,2066.524,2056.278,10.246000000000095
143,0,0.1090090921914325,0.0369033620921977,2.953906799036061,2015_2065,CanESM5,ssp245,r7i1p1f1,all,2064.653,2057.678,6.974999999999909
144,0,0.1111086345499265,0.041570402049537,2.672782293938964,2015_2065,CanESM5,ssp245,r6i1p2f1,all,2057.268,2049.593,7.675000000000182
145,0,0.1121574356882174,0.0382829296924868,2.929698343077142,2015_2065,CanESM5,ssp245,r6i1p1f1,all,2058.64,2053.045,5.5949999999998
146,0,0.0898419477980942,0.0339528588504657,2.646079029567836,2015_2065,CanESM5,ssp245,r5i1p2f1,all,2072.429,2062.614,9.815000000000055
147,0,0.0940382315482308,0.038727599920485,2.4281967315637627,2015_2065,CanESM5,ssp245,r5i1p1f1,all,2057.7,2052.706,4.993999999999687
148,0,0.1273946371180359,0.0393534514409189,3.2371909566634214,2015_2065,CanESM5,ssp245,r4i1p2f1,all,2064.146,2051.602,12.544000000000324
149,0,0.1353389165104472,0.0392148284635922,3.451217863571641,2015_2065,CanESM5,ssp245,r4i1p1f1,all,2069.747,2055.464,14.282999999999902
150,0,0.1052449317636751,0.0389147144452929,2.704502224001424,2015_2065,CanESM5,ssp245,r3i1p2f1,all,2059.342,2054.05,5.291999999999916
151,0,0.1231062458309205,0.0432752682420503,2.8447251936684474,2015_2065,CanESM5,ssp245,r3i1p1f1,all,2055.43,2049.105,6.324999999999818
